s_1	s_2	s_3	s_4	s_5	s_11	s_12	s_13	s_14	s_15	s_21	s_22	s_23	s_24	s_25	s_31	s_32	s_33	s_34	s_35	s_41	s_42	s_43	s_44	s_45	s_51	s_52	s_53	s_54	s_55
1-Hydroxy-2-Naphthoate	1.01227230553466	-0.0951049344737722	-0.0949389918163892	0.784773527126972	0.598341909202918	-0.633287164000605	-0.297551421061506	0.162529232009902	0.708565647368072	-0.391117163201433	-1.18078855147446	0.494685651982918	0.7622153866985	0.0410342648960728	0.699291675399259	-1.05454649978315	-0.589073843604751	-0.293557195232596	-0.144675127618666	-1.68483407680361	0.570921659413111	-0.529407009140767	-0.452031011834058	0.0223295501156483	0.382166978354593	0.031501035734525	0.0837683662251304	0.767768573064084	-0.0289750606157736	-0.566127342355256
Glutamate Acid	-0.981792663143982	0.160987623155623	-0.800268241777202	-1.54737989454333	-0.190464186547287	0.572259911969706	0.781535878475478	-1.88758697164788	0.879151239930775	-0.27699083774159	-1.20232670521885	0.728993112698445	0.871582346989658	-1.49593928304471	0.95318322873046	-0.498435504268947	-1.14406391963297	1.40292313054887	-0.147173842263563	0.713281317200932	0.270859391764538	0.790720997190815	-1.10370034018822	0.670292424036827	1.8747459262154	0.915169704800257	-1.14433634253658	-0.267151718433056	-0.30990584453548	-1.62025475920659
Eicosenoic Acid	1.0482870803952	1.92794420862366	-0.355661671843099	3.88753477423918	0.637729442896941	2.64200460504562	-1.06975103549008	2.16710442497839	-1.32311192663414	0.686981161160569	1.93999313738709	2.92935978747022	1.2061825008968	1.35219512808064	-3.39700198637669	1.9461769049398	-0.134049034675027	1.51156065635916	-0.514808765580576	-0.0727063685639426	2.04464769059987	-0.433686868550073	-1.32098484793025	-1.63367219226291	-0.27392237827036	-0.383208721087547	1.33441214358374	-1.27598263760576	-1.26429255677084	-1.54589898206471
Docosahexaenoic Acid (22:6 N?3)	1.84186112018783	1.01696632322224	0.191031606453703	0.997347471648791	0.610118909380056	1.42452534710669	-1.67432499385346	1.43814795218265	-0.592217321502764	-0.0969279916120378	0.728490066914706	1.08622822923248	0.0262371407222126	1.43372884918723	-1.7165352556308	1.1297219802066	0.248519393342757	0.363582225480226	-0.305579158464222	-0.675555284929088	1.3948105747573	-0.374937760351166	0.227342820364874	-0.0779547254512919	-0.812527631319881	0.466016070082595	0.935639839288778	-0.819624714228896	-0.187325498585325	-0.141216137275424
Dehydroisoandrosterone Sulfate/Dhea Sulfate	0.437319936538214	0.200895348859985	-1.10654315866911	0.131735523433945	-0.227009097467161	0.240633978242936	0.126057635029124	0.389811179314548	0.749727337401401	0.996954819762643	0.480669669618479	0.0419900130280227	0.369822362859061	0.0803531457052651	0.282342368392937	-0.169221315539481	0.0860676904874315	-0.111866928389965	-1.3016764075741	0.438019368286327	-0.458964658881238	1.20105270577029	0.72669655717512	0.056391315035185	-0.595070667683521	0.160839138434173	-0.467360470790685	-0.754954535395552	0.470412748836526	-1.10420690888244
Paraxanthine	1.6147656561932	-0.627565821667904	0.733389841486151	-0.671263450221694	0.717191279976015	0.453016645173001	0.130725994491405	0.409500158421211	1.48143151522759	-1.6233415643384	-0.480280224146952	0.458463511667696	1.76174393623289	0.379345455630933	1.16838545141887	1.18301692959807	0.965198423968098	0.0864491048394535	-0.00751793577442839	1.0260760649863	-0.134297647324621	1.16630066071716	1.00990060053469	0.425926403069296	1.62205643376256	0.115895262030391	0.639306565740484	-0.565035679572244	-0.936515947730485	-0.62996684915849
Oxoproline	0.355353395107036	-0.310242279037161	0.348748165457311	-0.233026559533634	0.668533314945178	0.159456388849742	-0.107480568867408	-0.279209795250607	-4.09319021185505	-0.482933954355977	0.305814649317424	-0.0145501492922785	0.041023645108245	0.717263628118437	-0.319564040929934	-0.385950235541454	0.18027643499874	-0.420324858468942	0.0704550743093216	-0.662580281635378	-0.297271894314343	-0.316776143268191	0.422894335174133	0.372533352884417	-0.217473360931453	-0.301815303350749	-1.62573473050165	-0.175579912318177	0.202375959969392	1.22218653000615
O-Octanoylcarnitine	0.645512569942104	-0.122976821970046	-0.334106872252259	0.655812402090146	0.748103773284631	0.827162522513443	-0.325966312448094	1.11939993615002	-0.206845738602124	0.192071005727005	1.0747032645669	0.584080266014126	-0.50469721398476	0.572890696206393	-0.697436781731332	0.712460082214542	-0.718692959272698	-0.0164926633556367	-0.213999015077587	-0.607672413176579	0.137588227996731	0.331021824561276	1.26499366841938	0.818600979462687	-0.31992646448189	0.617019185248248	0.278395489720291	0.00897475625631832	0.584381458404835	0.656594356424861
N-Acetylneuraminate_iso2	-0.148254009166895	-0.665213654781708	-0.34138596354563	-0.829754896138506	-0.148858928429818	0.95325218974545	-0.629086626697649	0.112522447379187	-0.321069170404683	0.359711350733914	0.229684602736083	0.296565770648099	-0.245552452398545	0.039621366292807	0.469465567845528	-0.139256266118797	0.38385008038199	-0.876194693257787	0.0553056858556733	-0.168352049723984	-0.592628966129951	-0.256809628577327	0.992572563762793	0.599162742906605	0.624850661487568	-0.744043922478856	0.0291596031500196	-0.422420037044579	0.0994233505208039	0.411652873323866
Cortisone	0.349033766802107	0.443520047720592	-0.0116120408371961	-1.31172374219157	0.261603749886694	0.194647242800226	-0.173874071941886	0.799264351761388	0.267613464677987	0.447626121571035	-1.35897219334826	0.269077951340509	-0.572489852198277	0.857925953850721	-0.0455185443735784	-0.31825936075332	0.0668303582406283	0.358781776025767	0.167908586126958	-1.00932356903803	0.29734033239867	-0.165273754340189	0.258503533688235	0.805091793303949	-0.728665968923016	0.392278989746428	-0.49609226967055	-0.538064919445876	-0.0921593305507026	-0.195733032589086
